 ,,,,,,,Dolar al dia,$18.50,,% Desc Compe.,96%,,IGI,0%,Imp y Flete,23%,Dll banca,$18.75,,,,,,,Descuento Ervey,14%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Barcode,Foto URL,Nombre Eng,Nombre Esp,Descripcion,UVA Nombre,Item Code,Uni Code,Categoria,Montaje,Tipo,$ Venta,Rotacion,Stock,Status,Notes,Pedido ,$ ZG,$ Oth,$ BM,$ Ptij dll,$ Ptij mxn,Veces G,,"PRECIO
OG",PRECIO ERVEY,VG CABOS,,,,"PRECIO ESP
TIJUANA"
1266,,,,,,,,,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,borrar,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1595,,,,Guide ring DN200 / Anillo guía DN200,,,SOM20117,80794006,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,borrar,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1596,,,,Guide ring DN230 / Anillo guía DN230,,,SOM20118,80672005,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,borrar,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2530,75045892530,,GUIDE RING Q230,ANILLO GUIA RETEN DE PISTON Q230,,,080672005,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,borrar,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2031,75045880560,,WEAR PLATE DN250 CASTING,ANTIFAZ DN250/ PLACA DE DESGASTE DN250 CASTING,,ANTIFAZ DN250 PARA BOMBA DE HORMIGON,10181938,,Schwing,BARRA V-ROCK,Sin Asignar,"$8,880.00",,1,Falta Ubicar,,,$120.00,$500.00,$480.00,$147.00,"$2,756.25",3.27,,,,,,,,
2027,75045880556,,WEAR PLATE DN200 CASTING,ANTIFAZ DN200/PLACA DE DESGASTE DN200 CASTING,,ANTIFAZ DN200 PARA BOMBA DE HORMIGON,10074767,,Schwing,BARRA V-ROCK,Sin Asignar,"$7,548.00",B,1,Falta Ubicar,,,$110.00,$425.00,$408.00,$134.75,"$2,526.56",3.03,,,,,,,,
2029,75045880558,,WEAR PLATE DN230 CASTING,ANTIFAZ DN230/PLACA DE DESGASTE DN230 CASTING,,ANTIFAZ DN230 PARA BOMBA DE HORMIGON,10074768,,Schwing,BARRA V-ROCK,SIN ASIGNAR,"$7,992.00",B,1,Falta Ubicar,,,$120.00,$450.00,$432.00,$147.00,"$2,756.25",2.94,,,,,,,,
2099,75045892099,,CUTTING RING DN210 CARBIDE,ANILLO CORTE DN210 CARBIDE,,,10063939,,Schwing,BARRA V-ROCK,SIN ASIGNAR,"$3,818.40",A,2,Falta Ubicar,,,$60.00,$215.00,$206.40,$73.50,"$1,378.13",2.81,,,,,,,,
2453,75045892453,,CUTTING RING DN210 CASTING,ANILLO DE CORTE DN210 CASTING  ,,,10063939.,,Schwing,BARRA V-ROCK,ANILLOS METALICOS,"$2,504.16",A,2,Falta Ubicar,,,$40.00,$141.00,$135.36,$49.00,$918.75,2.76,,,,,,,,
2030,75045880559,,WEAR PLATE DN250 CARBIDE,ANTIFAZ DN250/PLACA DE DESGASTE DN250 CARBIDE,,ANTIFAZ DN250 PARA BOMBA DE HORMIGON,10181938.,,Schwing,BARRA V-ROCK,SIN ASIGNAR,"$10,727.04",,1,Falta Ubicar,,,$180.00,$604.00,$579.84,$220.50,"$4,134.38",2.63,,,,,,,,
